Genes,1,2,3,4,5,1_sd,2_sd,3_sd,4_sd,5_sd
CHS,48.26203041,0.879161826,0.837657846,5.09,0.860647444,0.300139187,0.04911491,0.063634593,0.178294279,0.010576436
CHR,7.564581875,0.034719439,0.017521142,0.619409492,0.171620254,0.243947828,0.002544539,0.001000352,0.046733674,0.065707331
CHI,1.310224933,0.068068902,2.45502501,7.811352607,2.123468925,0.092400921,0.005086528,0.40324469,0.878018798,0.360716876
IFS,3.110879044,0.020355655,0.043194908,2.537297156,0.084429194,0.216846697,0.007044822,0.003466823,0.216740178,0.002202328
IFR,2.012466496,0.059910081,0.043198547,1.517691339,0.059500884,0.092173572,0.002101683,0.006420585,0.155091338,0.001980788
HID,6.358971518,0.092514055,0.099404038,3.509660721,0.446755068,0.254503936,0.001725806,0.001309253,0.099428853,0.024563106
CYP80E,2.199235357,0.124838916,0.062983052,1.419986919,0.036283321,0.273693277,0.022068076,0.00134614,0.212806238,0.002269328
PT,0.000107776,0,0,0.035581304,0.007520877,0.00011431,0,0,0.002270227,0.00055
